collection_context,top_level_recording_count,visual_recording_count,thermal_recording_count,visual_image_count,thermal_image_count,annotation_count,recording_names,modality_set,date_token,location_token,platform_token,identifier_tokens,parsing_status,evidence_status,interpretation
200426_SkookumCreek_Mavic_Mini,3,3,0,2803,0,2806,200426_SkookumCreek_Mavic_Mini_VIS_0006;200426_SkookumCreek_Mavic_Mini_VIS_0007;200426_SkookumCreek_Mavic_Mini_VIS_0008,VIS,200426,SkookumCreek_Mavic,Mini,0006;0007;0008,parsed,observed,Candidate context from an unchanged recording-name prefix; not a documented flight identity.
200505_Bellingham_Mavic_Mini,2,2,0,757,0,759,200505_Bellingham_Mavic_Mini_VIS_0015;200505_Bellingham_Mavic_Mini_VIS_0016,VIS,200505,Bellingham_Mavic,Mini,0015;0016,parsed,observed,Candidate context from an unchanged recording-name prefix; not a documented flight identity.
200528_Everson_Mavic_Mini,4,4,0,1473,0,1477,200528_Everson_Mavic_Mini_VIS_0021;200528_Everson_Mavic_Mini_VIS_0028;200528_Everson_Mavic_Mini_VIS_0029;200528_Everson_Mavic_Mini_VIS_0031,VIS,200528,Everson_Mavic,Mini,0021;0028;0029;0031,parsed,observed,Candidate context from an unchanged recording-name prefix; not a documented flight identity.
200614_SuddenValley_Phantom,5,5,0,1105,0,1110,200614_SuddenValley_Phantom_VIS_0005;200614_SuddenValley_Phantom_VIS_0006;200614_SuddenValley_Phantom_VIS_0012;200614_SuddenValley_Phantom_VIS_0013;200614_SuddenValley_Phantom_VIS_0014,VIS,200614,SuddenValley,Phantom,0005;0006;0012;0013;0014,parsed,observed,Candidate context from an unchanged recording-name prefix; not a documented flight identity.
200704_Baker_FLIR,2,0,2,0,1993,1995,200704_Baker_FLIR_IR_1;200704_Baker_FLIR_IR_2,IR,200704,Baker,FLIR,1;2,parsed,observed,Candidate context from an unchanged recording-name prefix; not a documented flight identity.
200910_Carnation_FLIR,7,0,7,0,2849,2856,200910_Carnation_FLIR_IR_1;200910_Carnation_FLIR_IR_2;200910_Carnation_FLIR_IR_3;200910_Carnation_FLIR_IR_4;200910_Carnation_FLIR_IR_5;200910_Carnation_FLIR_IR_6;200910_Carnation_FLIR_IR_7,IR,200910,Carnation,FLIR,1;2;3;4;5;6;7,parsed,observed,Candidate context from an unchanged recording-name prefix; not a documented flight identity.
200929_Karen_FLIR,6,0,6,0,2711,2717,200929_Karen_FLIR_IR_1;200929_Karen_FLIR_IR_2;200929_Karen_FLIR_IR_3;200929_Karen_FLIR_IR_4;200929_Karen_FLIR_IR_5;200929_Karen_FLIR_IR_6,IR,200929,Karen,FLIR,1;2;3;4;5;6,parsed,observed,Candidate context from an unchanged recording-name prefix; not a documented flight identity.
210327_Airfield_FLIR,12,4,8,1620,6874,8506,210327_Airfield_FLIR_IR_1;210327_Airfield_FLIR_IR_2;210327_Airfield_FLIR_IR_3;210327_Airfield_FLIR_IR_4;210327_Airfield_FLIR_IR_5;210327_Airfield_FLIR_IR_6;210327_Airfield_FLIR_IR_7;210327_Airfield_FLIR_IR_8;210327_Airfield_FLIR_VIS_1;210327_Airfield_FLIR_VIS_2;210327_Airfield_FLIR_VIS_3;210327_Airfield_FLIR_VIS_4,IR;VIS,210327,Airfield,FLIR,1;2;3;4;5;6;7;8,parsed,observed,Candidate context from an unchanged recording-name prefix; not a documented flight identity.
210417_MtErie_Enterprise,6,3,3,708,708,1422,210417_MtErie_Enterprise_IR_0004;210417_MtErie_Enterprise_IR_0006;210417_MtErie_Enterprise_IR_0008;210417_MtErie_Enterprise_VIS_0003;210417_MtErie_Enterprise_VIS_0005;210417_MtErie_Enterprise_VIS_0007,IR;VIS,210417,MtErie,Enterprise,0003;0004;0005;0006;0007;0008,parsed,observed,Candidate context from an unchanged recording-name prefix; not a documented flight identity.
210529_Carnation_Enterprise,4,2,2,2054,2055,2798,210529_Carnation_Enterprise_IR_0024;210529_Carnation_Enterprise_IR_0026;210529_Carnation_Enterprise_VIS_0023;210529_Carnation_Enterprise_VIS_0025,IR;VIS,210529,Carnation,Enterprise,0023;0024;0025;0026,parsed,observed,Candidate context from an unchanged recording-name prefix; not a documented flight identity.
210812_Hannegan_Enterprise,4,2,2,1137,1137,4,210812_Hannegan_Enterprise_IR_0054;210812_Hannegan_Enterprise_IR_0056;210812_Hannegan_Enterprise_VIS_0053;210812_Hannegan_Enterprise_VIS_0055,IR;VIS,210812,Hannegan,Enterprise,0053;0054;0055;0056,parsed,observed,Candidate context from an unchanged recording-name prefix; not a documented flight identity.
