modality,metric,count,min,mean,median,max
RGB,bbox_width_pixels,1022,21.00096,58.05096328767123,57.00096,137.99808
RGB,bbox_height_pixels,1022,39.00096,87.026596555773,90.00072,155.99952
RGB,bbox_area_pixels,1022,1637.9654381568,5146.596314372007,4446.0611997696,21527.634240921598
RGB,bbox_relative_area,1022,0.000197478472,0.0006204904892906066,0.0005360316839999999,0.0025954420139999994
RGB,image_dimension_3840x2160,264,,,,
RGB,images,264,,,,
RGB,annotations,264,,,,
RGB,bounding_boxes,1022,,,,
RGB,images_with_0_objects,4,,,,
RGB,images_with_1_objects,4,,,,
RGB,images_with_2_objects,4,,,,
RGB,images_with_3_objects,4,,,,
RGB,images_with_4_objects,4,,,,
RGB,images_with_5_objects,4,,,,
RGB,images_with_6_objects,4,,,,
RGB,images_with_7_objects,4,,,,
RGB,images_with_8_objects,4,,,,
RGB,images_with_9_objects,4,,,,
RGB,images_with_10_objects,4,,,,
RGB,images_with_11_objects,4,,,,
RGB,images_with_12_objects,4,,,,
RGB,images_with_13_objects,4,,,,
RGB,images_with_14_objects,4,,,,
RGB,images_with_15_objects,4,,,,
RGB,images_with_16_objects,4,,,,
RGB,images_with_17_objects,4,,,,
RGB,images_with_18_objects,4,,,,
RGB,images_with_19_objects,4,,,,
RGB,images_with_20_objects,4,,,,
RGB,images_with_21_objects,4,,,,
RGB,images_with_22_objects,4,,,,
RGB,images_with_23_objects,4,,,,
RGB,images_with_24_objects,4,,,,
RGB,images_with_25_objects,4,,,,
RGB,images_with_26_objects,4,,,,
RGB,images_with_27_objects,4,,,,
RGB,images_with_28_objects,4,,,,
RGB,images_with_29_objects,4,,,,
RGB,images_with_30_objects,4,,,,
RGB,images_with_31_objects,4,,,,
RGB,images_with_32_objects,4,,,,
RGB,images_with_33_objects,4,,,,
RGB,images_with_34_objects,4,,,,
RGB,images_with_35_objects,4,,,,
RGB,images_with_36_objects,4,,,,
RGB,images_with_37_objects,4,,,,
RGB,images_with_38_objects,4,,,,
RGB,images_with_39_objects,4,,,,
RGB,images_with_40_objects,4,,,,
RGB,images_with_41_objects,4,,,,
RGB,images_with_42_objects,4,,,,
RGB,images_with_43_objects,4,,,,
RGB,images_with_44_objects,4,,,,
RGB,images_with_45_objects,4,,,,
RGB,images_with_46_objects,4,,,,
RGB,images_with_47_objects,4,,,,
RGB,images_with_48_objects,4,,,,
RGB,images_with_49_objects,4,,,,
RGB,images_with_50_objects,3,,,,
RGB,images_with_51_objects,1,,,,
RGB,images_with_52_objects,1,,,,
RGB,images_with_53_objects,1,,,,
RGB,images_with_54_objects,4,,,,
RGB,images_with_55_objects,4,,,,
RGB,images_with_56_objects,4,,,,
RGB,images_with_57_objects,4,,,,
RGB,images_with_58_objects,4,,,,
RGB,images_with_59_objects,4,,,,
RGB,images_with_60_objects,4,,,,
RGB,images_with_61_objects,4,,,,
RGB,images_with_62_objects,4,,,,
RGB,images_with_63_objects,4,,,,
RGB,images_with_64_objects,4,,,,
RGB,images_with_65_objects,4,,,,
RGB,images_with_66_objects,4,,,,
RGB,images_with_67_objects,4,,,,
RGB,images_with_68_objects,4,,,,
RGB,images_with_69_objects,4,,,,
RGB,images_with_70_objects,4,,,,
RGB,images_with_71_objects,4,,,,
