rgb_frame,thermal_frame,rgb_file,thermal_file,rgb_annotation,thermal_annotation,status
0,1,210417_MtErie_Enterprise_VIS_0003_00000000.jpeg,210417_MtErie_Enterprise_IR_0004_00000001.jpeg,210417_MtErie_Enterprise_VIS_0003_00000000.txt,210417_MtErie_Enterprise_IR_0004_00000001.txt,paired
1,2,210417_MtErie_Enterprise_VIS_0003_00000001.jpeg,210417_MtErie_Enterprise_IR_0004_00000002.jpeg,210417_MtErie_Enterprise_VIS_0003_00000001.txt,210417_MtErie_Enterprise_IR_0004_00000002.txt,paired
2,3,210417_MtErie_Enterprise_VIS_0003_00000002.jpeg,210417_MtErie_Enterprise_IR_0004_00000003.jpeg,210417_MtErie_Enterprise_VIS_0003_00000002.txt,210417_MtErie_Enterprise_IR_0004_00000003.txt,paired
3,4,210417_MtErie_Enterprise_VIS_0003_00000003.jpeg,210417_MtErie_Enterprise_IR_0004_00000004.jpeg,210417_MtErie_Enterprise_VIS_0003_00000003.txt,210417_MtErie_Enterprise_IR_0004_00000004.txt,paired
4,5,210417_MtErie_Enterprise_VIS_0003_00000004.jpeg,210417_MtErie_Enterprise_IR_0004_00000005.jpeg,210417_MtErie_Enterprise_VIS_0003_00000004.txt,210417_MtErie_Enterprise_IR_0004_00000005.txt,paired
5,6,210417_MtErie_Enterprise_VIS_0003_00000005.jpeg,210417_MtErie_Enterprise_IR_0004_00000006.jpeg,210417_MtErie_Enterprise_VIS_0003_00000005.txt,210417_MtErie_Enterprise_IR_0004_00000006.txt,paired
6,7,210417_MtErie_Enterprise_VIS_0003_00000006.jpeg,210417_MtErie_Enterprise_IR_0004_00000007.jpeg,210417_MtErie_Enterprise_VIS_0003_00000006.txt,210417_MtErie_Enterprise_IR_0004_00000007.txt,paired
7,8,210417_MtErie_Enterprise_VIS_0003_00000007.jpeg,210417_MtErie_Enterprise_IR_0004_00000008.jpeg,210417_MtErie_Enterprise_VIS_0003_00000007.txt,210417_MtErie_Enterprise_IR_0004_00000008.txt,paired
8,9,210417_MtErie_Enterprise_VIS_0003_00000008.jpeg,210417_MtErie_Enterprise_IR_0004_00000009.jpeg,210417_MtErie_Enterprise_VIS_0003_00000008.txt,210417_MtErie_Enterprise_IR_0004_00000009.txt,paired
9,10,210417_MtErie_Enterprise_VIS_0003_00000009.jpeg,210417_MtErie_Enterprise_IR_0004_00000010.jpeg,210417_MtErie_Enterprise_VIS_0003_00000009.txt,210417_MtErie_Enterprise_IR_0004_00000010.txt,paired
10,11,210417_MtErie_Enterprise_VIS_0003_00000010.jpeg,210417_MtErie_Enterprise_IR_0004_00000011.jpeg,210417_MtErie_Enterprise_VIS_0003_00000010.txt,210417_MtErie_Enterprise_IR_0004_00000011.txt,paired
11,12,210417_MtErie_Enterprise_VIS_0003_00000011.jpeg,210417_MtErie_Enterprise_IR_0004_00000012.jpeg,210417_MtErie_Enterprise_VIS_0003_00000011.txt,210417_MtErie_Enterprise_IR_0004_00000012.txt,paired
12,13,210417_MtErie_Enterprise_VIS_0003_00000012.jpeg,210417_MtErie_Enterprise_IR_0004_00000013.jpeg,210417_MtErie_Enterprise_VIS_0003_00000012.txt,210417_MtErie_Enterprise_IR_0004_00000013.txt,paired
13,14,210417_MtErie_Enterprise_VIS_0003_00000013.jpeg,210417_MtErie_Enterprise_IR_0004_00000014.jpeg,210417_MtErie_Enterprise_VIS_0003_00000013.txt,210417_MtErie_Enterprise_IR_0004_00000014.txt,paired
14,15,210417_MtErie_Enterprise_VIS_0003_00000014.jpeg,210417_MtErie_Enterprise_IR_0004_00000015.jpeg,210417_MtErie_Enterprise_VIS_0003_00000014.txt,210417_MtErie_Enterprise_IR_0004_00000015.txt,paired
15,16,210417_MtErie_Enterprise_VIS_0003_00000015.jpeg,210417_MtErie_Enterprise_IR_0004_00000016.jpeg,210417_MtErie_Enterprise_VIS_0003_00000015.txt,210417_MtErie_Enterprise_IR_0004_00000016.txt,paired
16,17,210417_MtErie_Enterprise_VIS_0003_00000016.jpeg,210417_MtErie_Enterprise_IR_0004_00000017.jpeg,210417_MtErie_Enterprise_VIS_0003_00000016.txt,210417_MtErie_Enterprise_IR_0004_00000017.txt,paired
17,18,210417_MtErie_Enterprise_VIS_0003_00000017.jpeg,210417_MtErie_Enterprise_IR_0004_00000018.jpeg,210417_MtErie_Enterprise_VIS_0003_00000017.txt,210417_MtErie_Enterprise_IR_0004_00000018.txt,paired
18,19,210417_MtErie_Enterprise_VIS_0003_00000018.jpeg,210417_MtErie_Enterprise_IR_0004_00000019.jpeg,210417_MtErie_Enterprise_VIS_0003_00000018.txt,210417_MtErie_Enterprise_IR_0004_00000019.txt,paired
19,20,210417_MtErie_Enterprise_VIS_0003_00000019.jpeg,210417_MtErie_Enterprise_IR_0004_00000020.jpeg,210417_MtErie_Enterprise_VIS_0003_00000019.txt,210417_MtErie_Enterprise_IR_0004_00000020.txt,paired
20,21,210417_MtErie_Enterprise_VIS_0003_00000020.jpeg,210417_MtErie_Enterprise_IR_0004_00000021.jpeg,210417_MtErie_Enterprise_VIS_0003_00000020.txt,210417_MtErie_Enterprise_IR_0004_00000021.txt,paired
21,22,210417_MtErie_Enterprise_VIS_0003_00000021.jpeg,210417_MtErie_Enterprise_IR_0004_00000022.jpeg,210417_MtErie_Enterprise_VIS_0003_00000021.txt,210417_MtErie_Enterprise_IR_0004_00000022.txt,paired
22,23,210417_MtErie_Enterprise_VIS_0003_00000022.jpeg,210417_MtErie_Enterprise_IR_0004_00000023.jpeg,210417_MtErie_Enterprise_VIS_0003_00000022.txt,210417_MtErie_Enterprise_IR_0004_00000023.txt,paired
23,24,210417_MtErie_Enterprise_VIS_0003_00000023.jpeg,210417_MtErie_Enterprise_IR_0004_00000024.jpeg,210417_MtErie_Enterprise_VIS_0003_00000023.txt,210417_MtErie_Enterprise_IR_0004_00000024.txt,paired
24,25,210417_MtErie_Enterprise_VIS_0003_00000024.jpeg,210417_MtErie_Enterprise_IR_0004_00000025.jpeg,210417_MtErie_Enterprise_VIS_0003_00000024.txt,210417_MtErie_Enterprise_IR_0004_00000025.txt,paired
25,26,210417_MtErie_Enterprise_VIS_0003_00000025.jpeg,210417_MtErie_Enterprise_IR_0004_00000026.jpeg,210417_MtErie_Enterprise_VIS_0003_00000025.txt,210417_MtErie_Enterprise_IR_0004_00000026.txt,paired
26,27,210417_MtErie_Enterprise_VIS_0003_00000026.jpeg,210417_MtErie_Enterprise_IR_0004_00000027.jpeg,210417_MtErie_Enterprise_VIS_0003_00000026.txt,210417_MtErie_Enterprise_IR_0004_00000027.txt,paired
