recording_name,recording_path,collection_context,modality,date_token,location_token,platform_token,stream_identifier,image_count,annotation_count,image_extensions,annotation_extensions,minimum_frame_index,maximum_frame_index,unique_frame_index_count,obvious_gap_count,obvious_gap_examples,example_frame_names,parsing_status,evidence_status,interpretation
200321_Baker_Phantom_VIS,200321_Baker_Phantom_VIS,,,200321,,,,517,518,.jpg,.txt,0,516,517,0,,DJI_0001_00000000.jpg;DJI_0001_00000001.jpg;DJI_0001_00000002.jpg;DJI_0001_00000003.jpg;DJI_0001_00000004.jpg,ambiguous_or_unparsed,observed,"Recording identity, modality, grouping, and frame structure are ZIP path/name observations only; no flight or synchronization claim is made."
200402_Carnation_Inspire_VIS,200402_Carnation_Inspire_VIS,,,200402,,,,544,545,.jpeg,.txt,2227,2770,544,0,,200402_Carnation_Inspire_VIS_2227.jpeg;200402_Carnation_Inspire_VIS_2228.jpeg;200402_Carnation_Inspire_VIS_2229.jpeg;200402_Carnation_Inspire_VIS_2230.jpeg;200402_Carnation_Inspire_VIS_2231.jpeg,ambiguous_or_unparsed,observed,"Recording identity, modality, grouping, and frame structure are ZIP path/name observations only; no flight or synchronization claim is made."
200402_Karen_Inspire_VIS,200402_Karen_Inspire_VIS,,,200402,,,,2226,2227,.jpeg,.txt,,,2127,0,,200402_Karen_Inspire_VIS_1.jpeg;200402_Karen_Inspire_VIS_10.jpeg;200402_Karen_Inspire_VIS_100.jpeg;200402_Karen_Inspire_VIS_1000.jpeg;200402_Karen_Inspire_VIS_1001.jpeg,ambiguous_or_unparsed,observed,"Recording identity, modality, grouping, and frame structure are ZIP path/name observations only; no flight or synchronization claim is made."
200426_SkookumCreek_Mavic_Mini_VIS_0006,200426_SkookumCreek_Mavic_Mini_VIS_0006,200426_SkookumCreek_Mavic_Mini,VIS,200426,SkookumCreek_Mavic,Mini,0006,404,405,.jpg,.txt,0,403,404,0,,200426_SkookumCreek_Mavic_Mini_VIS_0006_00000000.jpg;200426_SkookumCreek_Mavic_Mini_VIS_0006_00000001.jpg;200426_SkookumCreek_Mavic_Mini_VIS_0006_00000002.jpg;200426_SkookumCreek_Mavic_Mini_VIS_0006_00000003.jpg;200426_SkookumCreek_Mavic_Mini_VIS_0006_00000004.jpg,parsed,observed,"Recording identity, modality, grouping, and frame structure are ZIP path/name observations only; no flight or synchronization claim is made."
200426_SkookumCreek_Mavic_Mini_VIS_0007,200426_SkookumCreek_Mavic_Mini_VIS_0007,200426_SkookumCreek_Mavic_Mini,VIS,200426,SkookumCreek_Mavic,Mini,0007,1460,1461,.jpg,.txt,0,1459,1460,0,,200426_SkookumCreek_Mavic_Mini_VIS_0007_00000000.jpg;200426_SkookumCreek_Mavic_Mini_VIS_0007_00000001.jpg;200426_SkookumCreek_Mavic_Mini_VIS_0007_00000002.jpg;200426_SkookumCreek_Mavic_Mini_VIS_0007_00000003.jpg;200426_SkookumCreek_Mavic_Mini_VIS_0007_00000004.jpg,parsed,observed,"Recording identity, modality, grouping, and frame structure are ZIP path/name observations only; no flight or synchronization claim is made."
200426_SkookumCreek_Mavic_Mini_VIS_0008,200426_SkookumCreek_Mavic_Mini_VIS_0008,200426_SkookumCreek_Mavic_Mini,VIS,200426,SkookumCreek_Mavic,Mini,0008,939,940,.jpg,.txt,0,949,939,11,889;890;891;892;893;894;895;910;911;912;913,200426_SkookumCreek_Mavic_Mini_VIS_0008_00000000.jpg;200426_SkookumCreek_Mavic_Mini_VIS_0008_00000001.jpg;200426_SkookumCreek_Mavic_Mini_VIS_0008_00000002.jpg;200426_SkookumCreek_Mavic_Mini_VIS_0008_00000003.jpg;200426_SkookumCreek_Mavic_Mini_VIS_0008_00000004.jpg,parsed,observed,"Recording identity, modality, grouping, and frame structure are ZIP path/name observations only; no flight or synchronization claim is made."
200505_Bellingham_Mavic_Mini_VIS_0015,200505_Bellingham_Mavic_Mini_VIS_0015,200505_Bellingham_Mavic_Mini,VIS,200505,Bellingham_Mavic,Mini,0015,454,455,.jpg,.txt,0,453,454,0,,200505_Bellingham_Mavic_Mini_VIS_0015_00000000.jpg;200505_Bellingham_Mavic_Mini_VIS_0015_00000001.jpg;200505_Bellingham_Mavic_Mini_VIS_0015_00000002.jpg;200505_Bellingham_Mavic_Mini_VIS_0015_00000003.jpg;200505_Bellingham_Mavic_Mini_VIS_0015_00000004.jpg,parsed,observed,"Recording identity, modality, grouping, and frame structure are ZIP path/name observations only; no flight or synchronization claim is made."
200505_Bellingham_Mavic_Mini_VIS_0016,200505_Bellingham_Mavic_Mini_VIS_0016,200505_Bellingham_Mavic_Mini,VIS,200505,Bellingham_Mavic,Mini,0016,303,304,.jpg,.txt,0,302,303,0,,200505_Bellingham_Mavic_Mini_VIS_0016_00000000.jpg;200505_Bellingham_Mavic_Mini_VIS_0016_00000001.jpg;200505_Bellingham_Mavic_Mini_VIS_0016_00000002.jpg;200505_Bellingham_Mavic_Mini_VIS_0016_00000003.jpg;200505_Bellingham_Mavic_Mini_VIS_0016_00000004.jpg,parsed,observed,"Recording identity, modality, grouping, and frame structure are ZIP path/name observations only; no flight or synchronization claim is made."
200528_Everson_Mavic_Mini_VIS_0021,200528_Everson_Mavic_Mini_VIS_0021,200528_Everson_Mavic_Mini,VIS,200528,Everson_Mavic,Mini,0021,500,501,.jpg,.txt,0,499,500,0,,DJI_0021 (1-6-2022 8-21-53 AM).mp4_00000.jpg;DJI_0021 (1-6-2022 8-21-53 AM).mp4_00001.jpg;DJI_0021 (1-6-2022 8-21-53 AM).mp4_00002.jpg;DJI_0021 (1-6-2022 8-21-53 AM).mp4_00003.jpg;DJI_0021 (1-6-2022 8-21-53 AM).mp4_00004.jpg,parsed,observed,"Recording identity, modality, grouping, and frame structure are ZIP path/name observations only; no flight or synchronization claim is made."
200528_Everson_Mavic_Mini_VIS_0028,200528_Everson_Mavic_Mini_VIS_0028,200528_Everson_Mavic_Mini,VIS,200528,Everson_Mavic,Mini,0028,336,337,.jpg,.txt,0,335,336,0,,200528_Everson_Mavic_Mini_VIS_0028_00000000.jpg;200528_Everson_Mavic_Mini_VIS_0028_00000001.jpg;200528_Everson_Mavic_Mini_VIS_0028_00000002.jpg;200528_Everson_Mavic_Mini_VIS_0028_00000003.jpg;200528_Everson_Mavic_Mini_VIS_0028_00000004.jpg,parsed,observed,"Recording identity, modality, grouping, and frame structure are ZIP path/name observations only; no flight or synchronization claim is made."
200528_Everson_Mavic_Mini_VIS_0029,200528_Everson_Mavic_Mini_VIS_0029,200528_Everson_Mavic_Mini,VIS,200528,Everson_Mavic,Mini,0029,237,238,.jpg,.txt,0,236,237,0,,200528_Everson_Mavic_Mini_VIS_0029_00000000.jpg;200528_Everson_Mavic_Mini_VIS_0029_00000001.jpg;200528_Everson_Mavic_Mini_VIS_0029_00000002.jpg;200528_Everson_Mavic_Mini_VIS_0029_00000003.jpg;200528_Everson_Mavic_Mini_VIS_0029_00000004.jpg,parsed,observed,"Recording identity, modality, grouping, and frame structure are ZIP path/name observations only; no flight or synchronization claim is made."
200528_Everson_Mavic_Mini_VIS_0031,200528_Everson_Mavic_Mini_VIS_0031,200528_Everson_Mavic_Mini,VIS,200528,Everson_Mavic,Mini,0031,400,401,.jpg,.txt,0,399,400,0,,DJI_0031 (1-6-2022 8-22-14 AM).mp4_00000.jpg;DJI_0031 (1-6-2022 8-22-14 AM).mp4_00001.jpg;DJI_0031 (1-6-2022 8-22-14 AM).mp4_00002.jpg;DJI_0031 (1-6-2022 8-22-14 AM).mp4_00003.jpg;DJI_0031 (1-6-2022 8-22-14 AM).mp4_00004.jpg,parsed,observed,"Recording identity, modality, grouping, and frame structure are ZIP path/name observations only; no flight or synchronization claim is made."
200614_SuddenValley_Phantom_VIS_0005,200614_SuddenValley_Phantom_VIS_0005,200614_SuddenValley_Phantom,VIS,200614,SuddenValley,Phantom,0005,379,380,.jpg,.txt,0,393,379,15,91;92;93;94;95;96;97;98;99;100;102;103;104;105;106,200614_SuddenValley_Phantom_VIS_0005_00000000.jpg;200614_SuddenValley_Phantom_VIS_0005_00000001.jpg;200614_SuddenValley_Phantom_VIS_0005_00000002.jpg;200614_SuddenValley_Phantom_VIS_0005_00000003.jpg;200614_SuddenValley_Phantom_VIS_0005_00000004.jpg,parsed,observed,"Recording identity, modality, grouping, and frame structure are ZIP path/name observations only; no flight or synchronization claim is made."
200614_SuddenValley_Phantom_VIS_0006,200614_SuddenValley_Phantom_VIS_0006,200614_SuddenValley_Phantom,VIS,200614,SuddenValley,Phantom,0006,387,388,.jpg,.txt,22,408,387,0,,200614_SuddenValley_Phantom_VIS_0006_00000022.jpg;200614_SuddenValley_Phantom_VIS_0006_00000023.jpg;200614_SuddenValley_Phantom_VIS_0006_00000024.jpg;200614_SuddenValley_Phantom_VIS_0006_00000025.jpg;200614_SuddenValley_Phantom_VIS_0006_00000026.jpg,parsed,observed,"Recording identity, modality, grouping, and frame structure are ZIP path/name observations only; no flight or synchronization claim is made."
200614_SuddenValley_Phantom_VIS_0012,200614_SuddenValley_Phantom_VIS_0012,200614_SuddenValley_Phantom,VIS,200614,SuddenValley,Phantom,0012,41,42,.jpg,.txt,0,40,41,0,,200614_SuddenValley_Phantom_VIS_0012_00000000.jpg;200614_SuddenValley_Phantom_VIS_0012_00000001.jpg;200614_SuddenValley_Phantom_VIS_0012_00000002.jpg;200614_SuddenValley_Phantom_VIS_0012_00000003.jpg;200614_SuddenValley_Phantom_VIS_0012_00000004.jpg,parsed,observed,"Recording identity, modality, grouping, and frame structure are ZIP path/name observations only; no flight or synchronization claim is made."
200614_SuddenValley_Phantom_VIS_0013,200614_SuddenValley_Phantom_VIS_0013,200614_SuddenValley_Phantom,VIS,200614,SuddenValley,Phantom,0013,63,64,.jpg,.txt,1,63,63,0,,200614_SuddenValley_Phantom_VIS_0013_00000001.jpg;200614_SuddenValley_Phantom_VIS_0013_00000002.jpg;200614_SuddenValley_Phantom_VIS_0013_00000003.jpg;200614_SuddenValley_Phantom_VIS_0013_00000004.jpg;200614_SuddenValley_Phantom_VIS_0013_00000005.jpg,parsed,observed,"Recording identity, modality, grouping, and frame structure are ZIP path/name observations only; no flight or synchronization claim is made."
200614_SuddenValley_Phantom_VIS_0014,200614_SuddenValley_Phantom_VIS_0014,200614_SuddenValley_Phantom,VIS,200614,SuddenValley,Phantom,0014,235,236,.jpg,.txt,0,260,235,26,72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91,200614_SuddenValley_Phantom_VIS_0014_00000000.jpg;200614_SuddenValley_Phantom_VIS_0014_00000001.jpg;200614_SuddenValley_Phantom_VIS_0014_00000002.jpg;200614_SuddenValley_Phantom_VIS_0014_00000003.jpg;200614_SuddenValley_Phantom_VIS_0014_00000004.jpg,parsed,observed,"Recording identity, modality, grouping, and frame structure are ZIP path/name observations only; no flight or synchronization claim is made."
200704_Baker_FLIR_IR_1,200704_Baker_FLIR_IR_1,200704_Baker_FLIR,IR,200704,Baker,FLIR,1,912,913,.jpg,.txt,,,0,0,,200704_baker__FLIR_1_ 0001.jpg;200704_baker__FLIR_1_ 0002.jpg;200704_baker__FLIR_1_ 0003.jpg;200704_baker__FLIR_1_ 0004.jpg;200704_baker__FLIR_1_ 0005.jpg,parsed,observed,"Recording identity, modality, grouping, and frame structure are ZIP path/name observations only; no flight or synchronization claim is made."
