recording_name,recording_path,collection_context,modality,image_count,partition,cv_fold,cv_role,cv_validation_context
210417_MtErie_Enterprise_IR_0004,210417_MtErie_Enterprise_IR_0004,210417_MtErie_Enterprise,IR,264,development,1,validation,210417_MtErie_Enterprise
210417_MtErie_Enterprise_IR_0006,210417_MtErie_Enterprise_IR_0006,210417_MtErie_Enterprise,IR,272,development,1,validation,210417_MtErie_Enterprise
210417_MtErie_Enterprise_IR_0008,210417_MtErie_Enterprise_IR_0008,210417_MtErie_Enterprise,IR,172,development,1,validation,210417_MtErie_Enterprise
210417_MtErie_Enterprise_VIS_0003,210417_MtErie_Enterprise_VIS_0003,210417_MtErie_Enterprise,VIS,264,development,1,validation,210417_MtErie_Enterprise
210417_MtErie_Enterprise_VIS_0005,210417_MtErie_Enterprise_VIS_0005,210417_MtErie_Enterprise,VIS,272,development,1,validation,210417_MtErie_Enterprise
210417_MtErie_Enterprise_VIS_0007,210417_MtErie_Enterprise_VIS_0007,210417_MtErie_Enterprise,VIS,172,development,1,validation,210417_MtErie_Enterprise
210529_Carnation_Enterprise_IR_0024,210529_Carnation_Enterprise_IR_0024,210529_Carnation_Enterprise,IR,740,development,1,training,210417_MtErie_Enterprise
210529_Carnation_Enterprise_IR_0026,210529_Carnation_Enterprise_IR_0026,210529_Carnation_Enterprise,IR,1315,development,1,training,210417_MtErie_Enterprise
210529_Carnation_Enterprise_VIS_0023,210529_Carnation_Enterprise_VIS_0023,210529_Carnation_Enterprise,VIS,739,development,1,training,210417_MtErie_Enterprise
210529_Carnation_Enterprise_VIS_0025,210529_Carnation_Enterprise_VIS_0025,210529_Carnation_Enterprise,VIS,1315,development,1,training,210417_MtErie_Enterprise
210924_FHL_Enterprise_IR_0127,210924_FHL_Enterprise_IR_0127,210924_FHL_Enterprise,IR,1008,development,1,training,210417_MtErie_Enterprise
210924_FHL_Enterprise_IR_0135,210924_FHL_Enterprise_IR_0135,210924_FHL_Enterprise,IR,273,development,1,training,210417_MtErie_Enterprise
210924_FHL_Enterprise_IR_0402,210924_FHL_Enterprise_IR_0402,210924_FHL_Enterprise,IR,896,development,1,training,210417_MtErie_Enterprise
210924_FHL_Enterprise_IR_0404,210924_FHL_Enterprise_IR_0404,210924_FHL_Enterprise,IR,1417,development,1,training,210417_MtErie_Enterprise
210924_FHL_Enterprise_IR_0406,210924_FHL_Enterprise_IR_0406,210924_FHL_Enterprise,IR,943,development,1,training,210417_MtErie_Enterprise
210924_FHL_Enterprise_IR_0408,210924_FHL_Enterprise_IR_0408,210924_FHL_Enterprise,IR,1035,development,1,training,210417_MtErie_Enterprise
210924_FHL_Enterprise_IR_0410,210924_FHL_Enterprise_IR_0410,210924_FHL_Enterprise,IR,1299,development,1,training,210417_MtErie_Enterprise
210924_FHL_Enterprise_IR_0565,210924_FHL_Enterprise_IR_0565,210924_FHL_Enterprise,IR,982,development,1,training,210417_MtErie_Enterprise
210924_FHL_Enterprise_IR_0567,210924_FHL_Enterprise_IR_0567,210924_FHL_Enterprise,IR,909,development,1,training,210417_MtErie_Enterprise
210924_FHL_Enterprise_VIS_0126,210924_FHL_Enterprise_VIS_0126,210924_FHL_Enterprise,VIS,1006,development,1,training,210417_MtErie_Enterprise
210924_FHL_Enterprise_VIS_0134,210924_FHL_Enterprise_VIS_0134,210924_FHL_Enterprise,VIS,273,development,1,training,210417_MtErie_Enterprise
210924_FHL_Enterprise_VIS_0401,210924_FHL_Enterprise_VIS_0401,210924_FHL_Enterprise,VIS,897,development,1,training,210417_MtErie_Enterprise
210924_FHL_Enterprise_VIS_0403,210924_FHL_Enterprise_VIS_0403,210924_FHL_Enterprise,VIS,1417,development,1,training,210417_MtErie_Enterprise
210924_FHL_Enterprise_VIS_0405,210924_FHL_Enterprise_VIS_0405,210924_FHL_Enterprise,VIS,945,development,1,training,210417_MtErie_Enterprise
210924_FHL_Enterprise_VIS_0407,210924_FHL_Enterprise_VIS_0407,210924_FHL_Enterprise,VIS,1035,development,1,training,210417_MtErie_Enterprise
210924_FHL_Enterprise_VIS_0409,210924_FHL_Enterprise_VIS_0409,210924_FHL_Enterprise,VIS,1300,development,1,training,210417_MtErie_Enterprise
210924_FHL_Enterprise_VIS_0564,210924_FHL_Enterprise_VIS_0564,210924_FHL_Enterprise,VIS,983,development,1,training,210417_MtErie_Enterprise
210924_FHL_Enterprise_VIS_0566,210924_FHL_Enterprise_VIS_0566,210924_FHL_Enterprise,VIS,909,development,1,training,210417_MtErie_Enterprise
220109_Baker_Enterprise_IR_1,220109_Baker_Enterprise_IR_1,220109_Baker_Enterprise,IR,2180,development,1,training,210417_MtErie_Enterprise
220109_Baker_Enterprise_IR_2,220109_Baker_Enterprise_IR_2,220109_Baker_Enterprise,IR,609,development,1,training,210417_MtErie_Enterprise
220109_Baker_Enterprise_VIS_1,220109_Baker_Enterprise_VIS_1,220109_Baker_Enterprise,VIS,2180,development,1,training,210417_MtErie_Enterprise
210417_MtErie_Enterprise_IR_0004,210417_MtErie_Enterprise_IR_0004,210417_MtErie_Enterprise,IR,264,development,2,training,210529_Carnation_Enterprise
210417_MtErie_Enterprise_IR_0006,210417_MtErie_Enterprise_IR_0006,210417_MtErie_Enterprise,IR,272,development,2,training,210529_Carnation_Enterprise
210417_MtErie_Enterprise_IR_0008,210417_MtErie_Enterprise_IR_0008,210417_MtErie_Enterprise,IR,172,development,2,training,210529_Carnation_Enterprise
210417_MtErie_Enterprise_VIS_0003,210417_MtErie_Enterprise_VIS_0003,210417_MtErie_Enterprise,VIS,264,development,2,training,210529_Carnation_Enterprise
210417_MtErie_Enterprise_VIS_0005,210417_MtErie_Enterprise_VIS_0005,210417_MtErie_Enterprise,VIS,272,development,2,training,210529_Carnation_Enterprise
210417_MtErie_Enterprise_VIS_0007,210417_MtErie_Enterprise_VIS_0007,210417_MtErie_Enterprise,VIS,172,development,2,training,210529_Carnation_Enterprise
210529_Carnation_Enterprise_IR_0024,210529_Carnation_Enterprise_IR_0024,210529_Carnation_Enterprise,IR,740,development,2,validation,210529_Carnation_Enterprise
210529_Carnation_Enterprise_IR_0026,210529_Carnation_Enterprise_IR_0026,210529_Carnation_Enterprise,IR,1315,development,2,validation,210529_Carnation_Enterprise
210529_Carnation_Enterprise_VIS_0023,210529_Carnation_Enterprise_VIS_0023,210529_Carnation_Enterprise,VIS,739,development,2,validation,210529_Carnation_Enterprise
210529_Carnation_Enterprise_VIS_0025,210529_Carnation_Enterprise_VIS_0025,210529_Carnation_Enterprise,VIS,1315,development,2,validation,210529_Carnation_Enterprise
210924_FHL_Enterprise_IR_0127,210924_FHL_Enterprise_IR_0127,210924_FHL_Enterprise,IR,1008,development,2,training,210529_Carnation_Enterprise
210924_FHL_Enterprise_IR_0135,210924_FHL_Enterprise_IR_0135,210924_FHL_Enterprise,IR,273,development,2,training,210529_Carnation_Enterprise
210924_FHL_Enterprise_IR_0402,210924_FHL_Enterprise_IR_0402,210924_FHL_Enterprise,IR,896,development,2,training,210529_Carnation_Enterprise
210924_FHL_Enterprise_IR_0404,210924_FHL_Enterprise_IR_0404,210924_FHL_Enterprise,IR,1417,development,2,training,210529_Carnation_Enterprise
210924_FHL_Enterprise_IR_0406,210924_FHL_Enterprise_IR_0406,210924_FHL_Enterprise,IR,943,development,2,training,210529_Carnation_Enterprise
210924_FHL_Enterprise_IR_0408,210924_FHL_Enterprise_IR_0408,210924_FHL_Enterprise,IR,1035,development,2,training,210529_Carnation_Enterprise
210924_FHL_Enterprise_IR_0410,210924_FHL_Enterprise_IR_0410,210924_FHL_Enterprise,IR,1299,development,2,training,210529_Carnation_Enterprise
210924_FHL_Enterprise_IR_0565,210924_FHL_Enterprise_IR_0565,210924_FHL_Enterprise,IR,982,development,2,training,210529_Carnation_Enterprise
210924_FHL_Enterprise_IR_0567,210924_FHL_Enterprise_IR_0567,210924_FHL_Enterprise,IR,909,development,2,training,210529_Carnation_Enterprise
210924_FHL_Enterprise_VIS_0126,210924_FHL_Enterprise_VIS_0126,210924_FHL_Enterprise,VIS,1006,development,2,training,210529_Carnation_Enterprise
210924_FHL_Enterprise_VIS_0134,210924_FHL_Enterprise_VIS_0134,210924_FHL_Enterprise,VIS,273,development,2,training,210529_Carnation_Enterprise
210924_FHL_Enterprise_VIS_0401,210924_FHL_Enterprise_VIS_0401,210924_FHL_Enterprise,VIS,897,development,2,training,210529_Carnation_Enterprise
210924_FHL_Enterprise_VIS_0403,210924_FHL_Enterprise_VIS_0403,210924_FHL_Enterprise,VIS,1417,development,2,training,210529_Carnation_Enterprise
210924_FHL_Enterprise_VIS_0405,210924_FHL_Enterprise_VIS_0405,210924_FHL_Enterprise,VIS,945,development,2,training,210529_Carnation_Enterprise
210924_FHL_Enterprise_VIS_0407,210924_FHL_Enterprise_VIS_0407,210924_FHL_Enterprise,VIS,1035,development,2,training,210529_Carnation_Enterprise
210924_FHL_Enterprise_VIS_0409,210924_FHL_Enterprise_VIS_0409,210924_FHL_Enterprise,VIS,1300,development,2,training,210529_Carnation_Enterprise
210924_FHL_Enterprise_VIS_0564,210924_FHL_Enterprise_VIS_0564,210924_FHL_Enterprise,VIS,983,development,2,training,210529_Carnation_Enterprise
210924_FHL_Enterprise_VIS_0566,210924_FHL_Enterprise_VIS_0566,210924_FHL_Enterprise,VIS,909,development,2,training,210529_Carnation_Enterprise
220109_Baker_Enterprise_IR_1,220109_Baker_Enterprise_IR_1,220109_Baker_Enterprise,IR,2180,development,2,training,210529_Carnation_Enterprise
220109_Baker_Enterprise_IR_2,220109_Baker_Enterprise_IR_2,220109_Baker_Enterprise,IR,609,development,2,training,210529_Carnation_Enterprise
220109_Baker_Enterprise_VIS_1,220109_Baker_Enterprise_VIS_1,220109_Baker_Enterprise,VIS,2180,development,2,training,210529_Carnation_Enterprise
210417_MtErie_Enterprise_IR_0004,210417_MtErie_Enterprise_IR_0004,210417_MtErie_Enterprise,IR,264,development,3,training,210924_FHL_Enterprise
210417_MtErie_Enterprise_IR_0006,210417_MtErie_Enterprise_IR_0006,210417_MtErie_Enterprise,IR,272,development,3,training,210924_FHL_Enterprise
210417_MtErie_Enterprise_IR_0008,210417_MtErie_Enterprise_IR_0008,210417_MtErie_Enterprise,IR,172,development,3,training,210924_FHL_Enterprise
210417_MtErie_Enterprise_VIS_0003,210417_MtErie_Enterprise_VIS_0003,210417_MtErie_Enterprise,VIS,264,development,3,training,210924_FHL_Enterprise
210417_MtErie_Enterprise_VIS_0005,210417_MtErie_Enterprise_VIS_0005,210417_MtErie_Enterprise,VIS,272,development,3,training,210924_FHL_Enterprise
210417_MtErie_Enterprise_VIS_0007,210417_MtErie_Enterprise_VIS_0007,210417_MtErie_Enterprise,VIS,172,development,3,training,210924_FHL_Enterprise
210529_Carnation_Enterprise_IR_0024,210529_Carnation_Enterprise_IR_0024,210529_Carnation_Enterprise,IR,740,development,3,training,210924_FHL_Enterprise
210529_Carnation_Enterprise_IR_0026,210529_Carnation_Enterprise_IR_0026,210529_Carnation_Enterprise,IR,1315,development,3,training,210924_FHL_Enterprise
210529_Carnation_Enterprise_VIS_0023,210529_Carnation_Enterprise_VIS_0023,210529_Carnation_Enterprise,VIS,739,development,3,training,210924_FHL_Enterprise
210529_Carnation_Enterprise_VIS_0025,210529_Carnation_Enterprise_VIS_0025,210529_Carnation_Enterprise,VIS,1315,development,3,training,210924_FHL_Enterprise
210924_FHL_Enterprise_IR_0127,210924_FHL_Enterprise_IR_0127,210924_FHL_Enterprise,IR,1008,development,3,validation,210924_FHL_Enterprise
210924_FHL_Enterprise_IR_0135,210924_FHL_Enterprise_IR_0135,210924_FHL_Enterprise,IR,273,development,3,validation,210924_FHL_Enterprise
210924_FHL_Enterprise_IR_0402,210924_FHL_Enterprise_IR_0402,210924_FHL_Enterprise,IR,896,development,3,validation,210924_FHL_Enterprise
210924_FHL_Enterprise_IR_0404,210924_FHL_Enterprise_IR_0404,210924_FHL_Enterprise,IR,1417,development,3,validation,210924_FHL_Enterprise
210924_FHL_Enterprise_IR_0406,210924_FHL_Enterprise_IR_0406,210924_FHL_Enterprise,IR,943,development,3,validation,210924_FHL_Enterprise
210924_FHL_Enterprise_IR_0408,210924_FHL_Enterprise_IR_0408,210924_FHL_Enterprise,IR,1035,development,3,validation,210924_FHL_Enterprise
210924_FHL_Enterprise_IR_0410,210924_FHL_Enterprise_IR_0410,210924_FHL_Enterprise,IR,1299,development,3,validation,210924_FHL_Enterprise
210924_FHL_Enterprise_IR_0565,210924_FHL_Enterprise_IR_0565,210924_FHL_Enterprise,IR,982,development,3,validation,210924_FHL_Enterprise
210924_FHL_Enterprise_IR_0567,210924_FHL_Enterprise_IR_0567,210924_FHL_Enterprise,IR,909,development,3,validation,210924_FHL_Enterprise
210924_FHL_Enterprise_VIS_0126,210924_FHL_Enterprise_VIS_0126,210924_FHL_Enterprise,VIS,1006,development,3,validation,210924_FHL_Enterprise
210924_FHL_Enterprise_VIS_0134,210924_FHL_Enterprise_VIS_0134,210924_FHL_Enterprise,VIS,273,development,3,validation,210924_FHL_Enterprise
210924_FHL_Enterprise_VIS_0401,210924_FHL_Enterprise_VIS_0401,210924_FHL_Enterprise,VIS,897,development,3,validation,210924_FHL_Enterprise
210924_FHL_Enterprise_VIS_0403,210924_FHL_Enterprise_VIS_0403,210924_FHL_Enterprise,VIS,1417,development,3,validation,210924_FHL_Enterprise
210924_FHL_Enterprise_VIS_0405,210924_FHL_Enterprise_VIS_0405,210924_FHL_Enterprise,VIS,945,development,3,validation,210924_FHL_Enterprise
210924_FHL_Enterprise_VIS_0407,210924_FHL_Enterprise_VIS_0407,210924_FHL_Enterprise,VIS,1035,development,3,validation,210924_FHL_Enterprise
210924_FHL_Enterprise_VIS_0409,210924_FHL_Enterprise_VIS_0409,210924_FHL_Enterprise,VIS,1300,development,3,validation,210924_FHL_Enterprise
210924_FHL_Enterprise_VIS_0564,210924_FHL_Enterprise_VIS_0564,210924_FHL_Enterprise,VIS,983,development,3,validation,210924_FHL_Enterprise
210924_FHL_Enterprise_VIS_0566,210924_FHL_Enterprise_VIS_0566,210924_FHL_Enterprise,VIS,909,development,3,validation,210924_FHL_Enterprise
220109_Baker_Enterprise_IR_1,220109_Baker_Enterprise_IR_1,220109_Baker_Enterprise,IR,2180,development,3,training,210924_FHL_Enterprise
220109_Baker_Enterprise_IR_2,220109_Baker_Enterprise_IR_2,220109_Baker_Enterprise,IR,609,development,3,training,210924_FHL_Enterprise
220109_Baker_Enterprise_VIS_1,220109_Baker_Enterprise_VIS_1,220109_Baker_Enterprise,VIS,2180,development,3,training,210924_FHL_Enterprise
210417_MtErie_Enterprise_IR_0004,210417_MtErie_Enterprise_IR_0004,210417_MtErie_Enterprise,IR,264,development,4,training,220109_Baker_Enterprise
210417_MtErie_Enterprise_IR_0006,210417_MtErie_Enterprise_IR_0006,210417_MtErie_Enterprise,IR,272,development,4,training,220109_Baker_Enterprise
210417_MtErie_Enterprise_IR_0008,210417_MtErie_Enterprise_IR_0008,210417_MtErie_Enterprise,IR,172,development,4,training,220109_Baker_Enterprise
210417_MtErie_Enterprise_VIS_0003,210417_MtErie_Enterprise_VIS_0003,210417_MtErie_Enterprise,VIS,264,development,4,training,220109_Baker_Enterprise
210417_MtErie_Enterprise_VIS_0005,210417_MtErie_Enterprise_VIS_0005,210417_MtErie_Enterprise,VIS,272,development,4,training,220109_Baker_Enterprise
210417_MtErie_Enterprise_VIS_0007,210417_MtErie_Enterprise_VIS_0007,210417_MtErie_Enterprise,VIS,172,development,4,training,220109_Baker_Enterprise
210529_Carnation_Enterprise_IR_0024,210529_Carnation_Enterprise_IR_0024,210529_Carnation_Enterprise,IR,740,development,4,training,220109_Baker_Enterprise
210529_Carnation_Enterprise_IR_0026,210529_Carnation_Enterprise_IR_0026,210529_Carnation_Enterprise,IR,1315,development,4,training,220109_Baker_Enterprise
210529_Carnation_Enterprise_VIS_0023,210529_Carnation_Enterprise_VIS_0023,210529_Carnation_Enterprise,VIS,739,development,4,training,220109_Baker_Enterprise
210529_Carnation_Enterprise_VIS_0025,210529_Carnation_Enterprise_VIS_0025,210529_Carnation_Enterprise,VIS,1315,development,4,training,220109_Baker_Enterprise
210924_FHL_Enterprise_IR_0127,210924_FHL_Enterprise_IR_0127,210924_FHL_Enterprise,IR,1008,development,4,training,220109_Baker_Enterprise
210924_FHL_Enterprise_IR_0135,210924_FHL_Enterprise_IR_0135,210924_FHL_Enterprise,IR,273,development,4,training,220109_Baker_Enterprise
