recording_name,recording_path,collection_context,modality,image_count,partition,cv_fold
210327_Airfield_FLIR_IR_1,210327_Airfield_FLIR_IR_1,210327_Airfield_FLIR,IR,983,test,
210327_Airfield_FLIR_IR_2,210327_Airfield_FLIR_IR_2,210327_Airfield_FLIR,IR,922,test,
210327_Airfield_FLIR_IR_3,210327_Airfield_FLIR_IR_3,210327_Airfield_FLIR,IR,1062,test,
210327_Airfield_FLIR_IR_4,210327_Airfield_FLIR_IR_4,210327_Airfield_FLIR,IR,1061,test,
210327_Airfield_FLIR_IR_5,210327_Airfield_FLIR_IR_5,210327_Airfield_FLIR,IR,313,test,
210327_Airfield_FLIR_IR_6,210327_Airfield_FLIR_IR_6,210327_Airfield_FLIR,IR,1059,test,
210327_Airfield_FLIR_IR_7,210327_Airfield_FLIR_IR_7,210327_Airfield_FLIR,IR,1059,test,
210327_Airfield_FLIR_IR_8,210327_Airfield_FLIR_IR_8,210327_Airfield_FLIR,IR,415,test,
210327_Airfield_FLIR_VIS_1,210327_Airfield_FLIR_VIS_1,210327_Airfield_FLIR,VIS,497,test,
210327_Airfield_FLIR_VIS_2,210327_Airfield_FLIR_VIS_2,210327_Airfield_FLIR,VIS,249,test,
210327_Airfield_FLIR_VIS_3,210327_Airfield_FLIR_VIS_3,210327_Airfield_FLIR,VIS,302,test,
210327_Airfield_FLIR_VIS_4,210327_Airfield_FLIR_VIS_4,210327_Airfield_FLIR,VIS,572,test,
210417_MtErie_Enterprise_IR_0004,210417_MtErie_Enterprise_IR_0004,210417_MtErie_Enterprise,IR,264,development,
210417_MtErie_Enterprise_IR_0006,210417_MtErie_Enterprise_IR_0006,210417_MtErie_Enterprise,IR,272,development,
210417_MtErie_Enterprise_IR_0008,210417_MtErie_Enterprise_IR_0008,210417_MtErie_Enterprise,IR,172,development,
210417_MtErie_Enterprise_VIS_0003,210417_MtErie_Enterprise_VIS_0003,210417_MtErie_Enterprise,VIS,264,development,
210417_MtErie_Enterprise_VIS_0005,210417_MtErie_Enterprise_VIS_0005,210417_MtErie_Enterprise,VIS,272,development,
210417_MtErie_Enterprise_VIS_0007,210417_MtErie_Enterprise_VIS_0007,210417_MtErie_Enterprise,VIS,172,development,
210529_Carnation_Enterprise_IR_0024,210529_Carnation_Enterprise_IR_0024,210529_Carnation_Enterprise,IR,740,development,
210529_Carnation_Enterprise_IR_0026,210529_Carnation_Enterprise_IR_0026,210529_Carnation_Enterprise,IR,1315,development,
210529_Carnation_Enterprise_VIS_0023,210529_Carnation_Enterprise_VIS_0023,210529_Carnation_Enterprise,VIS,739,development,
210529_Carnation_Enterprise_VIS_0025,210529_Carnation_Enterprise_VIS_0025,210529_Carnation_Enterprise,VIS,1315,development,
210812_Hannegan_Enterprise_IR_0054,210812_Hannegan_Enterprise_IR_0054,210812_Hannegan_Enterprise,IR,715,test,
210812_Hannegan_Enterprise_IR_0056,210812_Hannegan_Enterprise_IR_0056,210812_Hannegan_Enterprise,IR,422,test,
