rgb_frame,thermal_frame,rgb_box_index,thermal_box_index,rgb_center_x_norm,rgb_center_y_norm,thermal_center_x_norm,thermal_center_y_norm,center_displacement_norm,width_difference_norm,height_difference_norm,class_id
0,1,0,0,0.411328,0.386806,0.337406,0.358465,0.0791686450875598,0.015625,0.020833000000000004,0
0,1,1,3,0.683594,0.3625,0.768359,0.323611,0.09326017127370073,0.022657000000000004,0.005555000000000004,0
0,1,2,1,0.450391,0.489583,0.400781,0.468056,0.0540792365793009,0.021094,0.012500000000000011,0
0,1,3,2,0.547656,0.682639,0.55,0.667361,0.015456766155959029,0.009374999999999998,0.033333,0
1,2,0,0,0.415515,0.388212,0.342875,0.359854,0.07797913672258756,0.015625,0.020833000000000004,0
1,2,1,1,0.450863,0.500469,0.400781,0.468056,0.05965575657889189,0.021094,0.012500000000000011,0
1,2,2,2,0.546379,0.669301,0.55625,0.654861,0.017491433360362487,0.009374999999999998,0.033333,0
1,2,3,3,0.683594,0.366667,0.768359,0.323611,0.0950732578646593,0.022657000000000004,0.013888999999999992,0
2,3,0,0,0.413437,0.387141,0.342875,0.359854,0.07565432051773384,0.015625,0.020833000000000004,0
2,3,1,1,0.446687,0.499467,0.400781,0.468056,0.0556238416238936,0.021094,0.012500000000000011,0
2,3,2,2,0.548119,0.654355,0.557031,0.640972,0.016078819390738908,0.009374999999999998,0.033333,0
2,3,3,3,0.685394,0.372898,0.768359,0.323611,0.09650077509533285,0.022657000000000004,0.013888999999999992,0
3,4,0,0,0.417142,0.387879,0.348344,0.358465,0.07482211036852678,0.015625,0.020833000000000004,0
3,4,1,2,0.447806,0.497912,0.391406,0.477083,0.06012326705194922,0.008593999999999997,0.002776999999999988,0
3,4,2,3,0.5476,0.634763,0.539453,0.619444,0.017350659065292,0.032031000000000004,0.020833000000000004,0
3,4,3,1,0.685965,0.364693,0.760547,0.326389,0.08384313412557995,0.022657000000000004,0.013888999999999992,0
4,5,0,0,0.421577,0.394897,0.356156,0.365409,0.07175966405300405,0.015625,0.020833000000000004,0
4,5,1,3,0.535542,0.618151,0.535547,0.602778,0.01537300081311385,0.032031000000000004,0.020833000000000004,0
4,5,2,1,0.673828,0.359722,0.743359,0.334722,0.07388883515795874,0.026563000000000003,0.0027779999999999958,0
4,5,3,2,0.445703,0.497917,0.400781,0.479861,0.048414927656663935,0.011719,0.016667000000000008,0
5,6,0,3,0.52699,0.602102,0.513672,0.575694,0.02957619968826282,0.021093999999999998,0.016667,0
