rgb_frame,thermal_frame,rgb_keypoints,thermal_keypoints,raw_matches,good_matches,ransac_inliers,median_distance
0,1,1500,1500,368,100,5,48.0
22,23,1500,1500,369,100,23,44.0
44,45,1500,1500,401,100,20,47.0
66,67,1500,1500,375,100,15,49.0
88,89,1500,1500,390,100,11,49.0
110,111,1500,1500,415,100,16,49.5
132,133,1500,1500,406,100,11,49.0
154,155,1500,1500,383,100,30,47.0
176,177,1500,1500,396,100,9,49.0
198,199,1500,1500,398,100,8,48.0
220,221,1500,1500,364,100,8,48.0
242,243,1500,1500,404,100,11,47.0
