split,frame_id,image_path,annotation_path,object_count
train,0,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000000.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000000.txt,4
train,1,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000001.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000001.txt,4
train,2,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000002.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000002.txt,4
train,3,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000003.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000003.txt,4
train,4,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000004.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000004.txt,4
train,5,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000005.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000005.txt,4
train,6,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000006.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000006.txt,4
train,7,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000007.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000007.txt,4
train,8,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000008.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000008.txt,4
train,9,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000009.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000009.txt,4
train,10,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000010.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000010.txt,4
train,11,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000011.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000011.txt,4
train,12,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000012.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000012.txt,4
train,13,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000013.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000013.txt,4
